チーム,背番号,名前,ポジション,スロット,カラー,番号色
東レアローズ滋賀,1,田代 佳奈美,S,1,#00469c,white
東レアローズ滋賀,2,本田 凜,MB,,#00469c,white
東レアローズ滋賀,3,樫村 まどか,MB,,#00469c,white
東レアローズ滋賀,4,中島 未来,L,,#ffffff,black
東レアローズ滋賀,5,松岡 芽生,L,L,#ffffff,black
東レアローズ滋賀,6,深澤 つぐみ,OH,,#00469c,white
東レアローズ滋賀,7,ロホイス,MB,3,#00469c,white
東レアローズ滋賀,8,小山 愛実,OH,,#00469c,white
東レアローズ滋賀,9,川副 華笑,S,,#00469c,white
東レアローズ滋賀,10,谷島 里咲,OH,,#00469c,white
東レアローズ滋賀,11,青柳 京古,MB,6,#00469c,white
東レアローズ滋賀,12,古川 愛梨,OH,2,#00469c,white
東レアローズ滋賀,13,ジケル,OP,4,#00469c,white
東レアローズ滋賀,14,折立 湖雪,OH,,#00469c,white
東レアローズ滋賀,15,林田 愛佳,MB,,#00469c,white
東レアローズ滋賀,16,大川 愛海,OH,5,#00469c,white
東レアローズ滋賀,17,戸部 真由香,MB,,#00469c,white
東レアローズ滋賀,18,野嶋 華鈴,OH,,#00469c,white
東レアローズ滋賀,22,花岡 千聡,S,,#00469c,white
東レアローズ滋賀,24,結束 美南,OH,,#00469c,white
大阪マーヴェラス,1,フランシス,MB,3,#009947,white
大阪マーヴェラス,2,林 琴奈,OH,5,#009947,white
大阪マーヴェラス,3,志摩 美古都,OH,,#009947,white
大阪マーヴェラス,4,塩出 仁美,S,,#009947,white
大阪マーヴェラス,5,ファンヘッケ,OP,4,#009947,white
大阪マーヴェラス,6,田中 瑞稀,OH,2,#009947,white
大阪マーヴェラス,7,小川 愛里奈,MB,,#009947,white
大阪マーヴェラス,8,井上 芙香,L,,#000000,white
大阪マーヴェラス,9,榊原 菜那,MB,,#009947,white
大阪マーヴェラス,10,西崎 愛菜,L,L,#000000,white
大阪マーヴェラス,11,目黒 優佳,L,,#000000,white
大阪マーヴェラス,12,東 美奈,S,1,#009947,white
大阪マーヴェラス,13,成瀬 ももか,MB,,#009947,white
大阪マーヴェラス,14,大山 遼,MB,6,#009947,white
大阪マーヴェラス,15,宮部 愛芽世,OH,,#009947,white
大阪マーヴェラス,16,ソロモン,OP,,#009947,white
大阪マーヴェラス,17,福村 心優美,OH,,#009947,white
ヴィクトリーナ姫路,2,櫻井 美樹,S,1,#ba3a7c,white
ヴィクトリーナ姫路,3,田中 咲希,OP,,#ba3a7c,white
ヴィクトリーナ姫路,4,佐々木 千紘,MB,,#ba3a7c,white
ヴィクトリーナ姫路,5,伊藤 麻緒,MB,3,#ba3a7c,white
ヴィクトリーナ姫路,6,吉田 眞奈,L,,#ffffff,black
ヴィクトリーナ姫路,7,トドロヴァ,MB,6,#ba3a7c,white
ヴィクトリーナ姫路,8,大島 杏花,S,,#ba3a7c,white
ヴィクトリーナ姫路,9,渡邉 かや,OH,,#ba3a7c,white
ヴィクトリーナ姫路,11,宮部 藍梨,OP,4,#ba3a7c,white
ヴィクトリーナ姫路,12,野中 瑠衣,OH,2,#ba3a7c,white
ヴィクトリーナ姫路,13,福留 慧美,L,L,#ffffff,black
ヴィクトリーナ姫路,16,イ・ジェヨン,OH,,#ba3a7c,white
ヴィクトリーナ姫路,17,野末 朋那,OH,,#ba3a7c,white
ヴィクトリーナ姫路,18,ミンガルディ,OH,5,#ba3a7c,white
ヴィクトリーナ姫路,19,チャッチュオン,OH,,#ba3a7c,white
ヴィクトリーナ姫路,20,河俣 心海,OP,,#ba3a7c,white
ヴィクトリーナ姫路,21,矢田 和香,MB,,#ba3a7c,white
ヴィクトリーナ姫路,23,山本 侑奈,MB,,#ba3a7c,white
ヴィクトリーナ姫路,24,二宮 みずき,S,,#ba3a7c,white
岡山シーガルズ,1,濱田 真友,S,,#005eb0,white
岡山シーガルズ,2,佐伯 亜魅加,OH,2,#005eb0,white
岡山シーガルズ,3,田口 絢佳,MB,,#005eb0,white
岡山シーガルズ,4,小松原 凜香,OP,4,#005eb0,white
岡山シーガルズ,5,栗栖 明歩,MB,,#005eb0,white
岡山シーガルズ,6,宮川 琴花,OP,,#005eb0,white
岡山シーガルズ,7,山城 愛心,OH,,#005eb0,white
岡山シーガルズ,8,宮川 絢花,MB,,#005eb0,white
岡山シーガルズ,9,髙柳 有里,OH,,#005eb0,white
岡山シーガルズ,10,甲斐 理香菜,OH,,#005eb0,white
岡山シーガルズ,11,城戸 陽菜,L,L,#17151f,white
岡山シーガルズ,12,妹尾 紗香,S,1,#005eb0,white
岡山シーガルズ,14,佐原 菜々花,S,,#005eb0,white
岡山シーガルズ,15,新名 優花,S,,#005eb0,white
岡山シーガルズ,16,内山 優衣,L,,#17151f,white
岡山シーガルズ,17,城戸 うらん,OH,,#005eb0,white
岡山シーガルズ,18,藤村 若奈,OH,,#005eb0,white
岡山シーガルズ,19,齋藤 麻理菜,L,,#17151f,white
岡山シーガルズ,20,藤原 絢奈,OH,,#005eb0,white
岡山シーガルズ,21,中井 心音,MB,,#005eb0,white
岡山シーガルズ,22,船田 芽依,L,,#17151f,white
岡山シーガルズ,25,岡野 亜依,OH,,#005eb0,white
岡山シーガルズ,26,長瀨 そら,MB,3,#005eb0,white
岡山シーガルズ,27,トゥイ,MB,6,#005eb0,white
岡山シーガルズ,28,和田 実久,OH,,#005eb0,white
岡山シーガルズ,31,永井 知佳,MB,,#005eb0,white
岡山シーガルズ,32,松本 舞佳,MB,,#005eb0,white
岡山シーガルズ,33,中本 柚朱,OH,5,#005eb0,white
SAGA久光スプリングス,2,荒木 彩花,MB,3,#005bab,white
