チーム,背番号,名前,ポジション,スロット,カラー,番号色
広島サンダーズ,11,坂下 純也,OH,,#3fb05a,white
広島サンダーズ,15,西本 圭吾,MB,6,#3fb05a,white
広島サンダーズ,16,西 知恕,MB,,#3fb05a,white
広島サンダーズ,17,金子 聖輝,S,,#3fb05a,white
広島サンダーズ,18,山本 将平,OH,,#3fb05a,white
広島サンダーズ,19,フェリペ・ロケ,OP,4,#3fb05a,white
広島サンダーズ,20,阿部 大樹,S,,#3fb05a,white
広島サンダーズ,21,永露 元稀,S,1,#3fb05a,white
広島サンダーズ,22,山元 快太,OH,,#3fb05a,white
広島サンダーズ,23,ダニエル・マルティネス,OP,,#3fb05a,white
